Step, Train Loss, Validation Loss, Train Accuracy, Validation Accuracy
0, 0.21860253810882568, 0.0600159578025341, 90.31352233886719, 98.00353240966797
1, 0.129608154296875, 0.06982583552598953, 94.76019287109375, 97.69139862060547
2, 0.10922031849622726, 0.03868677839636803, 95.61614990234375, 98.73969268798828
3, 0.09836070984601974, 0.043897729367017746, 96.17174530029297, 98.36866760253906
4, 0.09487030655145645, 0.034491416066884995, 96.29149627685547, 98.845703125
5, 0.08895045518875122, 0.04081735014915466, 96.625244140625, 98.69847106933594
6, 0.08778608590364456, 0.03412844240665436, 96.50352478027344, 98.89281463623047
7, 0.08442551642656326, 0.06012995168566704, 96.84119415283203, 97.2791519165039
8, 0.08074580878019333, 0.03060896135866642, 96.83727264404297, 98.99882507324219
9, 0.07889816164970398, 0.05617499724030495, 96.97469329833984, 98.221435546875
10, 0.0791010782122612, 0.033800918608903885, 96.99629211425781, 98.78680419921875
11, 0.07482563704252243, 0.030241772532463074, 97.1199722290039, 98.86925506591797
12, 0.07343293726444244, 0.03238814324140549, 97.11801147460938, 99.0341567993164
13, 0.07321930676698685, 0.02778509259223938, 97.13371276855469, 99.04004669189453
14, 0.07224351167678833, 0.029233690351247787, 97.196533203125, 99.00471496582031
15, 0.06970079988241196, 0.03003568761050701, 97.31825256347656, 98.90459442138672
16, 0.07044318318367004, 0.030757728964090347, 97.2632827758789, 98.93992614746094
17, 0.06907247006893158, 0.030194126069545746, 97.39678192138672, 99.0105972290039
18, 0.06724593043327332, 0.029935378581285477, 97.41838073730469, 98.94581604003906
19, 0.06583455204963684, 0.028164878487586975, 97.53813171386719, 98.9222640991211
20, 0.06377983093261719, 0.030863016843795776, 97.47138977050781, 99.02826690673828
21, 0.06538672745227814, 0.027283677831292152, 97.45568084716797, 99.06949615478516
22, 0.06295812875032425, 0.033542197197675705, 97.60095977783203, 98.8221435546875
23, 0.06224702298641205, 0.02821922115981579, 97.56169128417969, 98.99293518066406
24, 0.06302227079868317, 0.028690092265605927, 97.5715103149414, 99.05182647705078
25, 0.062230803072452545, 0.0291369017213583, 97.62255096435547, 98.8987045288086
26, 0.05958457291126251, 0.030911946669220924, 97.70304870605469, 98.8987045288086
27, 0.06159628555178642, 0.03158906102180481, 97.60095977783203, 98.98115539550781
28, 0.06129825860261917, 0.030742362141609192, 97.61470031738281, 98.99882507324219
29, 0.060442548245191574, 0.03208978474140167, 97.66770935058594, 98.93403625488281
30, 0.05108961462974548, 0.027874130755662918, 97.9837875366211, 99.04593658447266
31, 0.04705103114247322, 0.029435617849230766, 98.2134780883789, 99.04004669189453
32, 0.044407203793525696, 0.029198413714766502, 98.2841567993164, 99.0105972290039
33, 0.04661962017416954, 0.02849735878407955, 98.20955657958984, 99.06360626220703
34, 0.04503053426742554, 0.02835683897137642, 98.24881744384766, 99.09304809570312
